title,price,house_area,land_area,location,date_posted
"Дача 100 м² на участке 7,2 сот.",3 500 000 ₽,100 м²,"7,2 сот.","садоводческое некоммерческое товарищество БалтикаМинское шоссе, 79 км",9 июля 15:26
Дом 70 м² на участке 12 сот.,7 000 000 ₽,70 м²,12 сот.,"д. НовоборисовкаКиевское шоссе, 93 км",1 час назад
Дом 157 м² на участке 12 сот.,21 000 000 ₽,157 м²,12 сот.,"д. Васюково, квартал дачной застройки МишкиноПятницкое шоссе, 38 км",15 января 21:14
Дача 68 м² на участке 6 сот.,1 600 000 ₽,68 м²,6 сот.,"СНТ Восход-2Дмитровское шоссе, 43 км",1 час назад
Дача 40 м² на участке 12 сот.,1 700 000 ₽,40 м²,12 сот.,"ЭлектрогорскГорьковское шоссе, 61 км",1 час назад
Дом 153 м² на участке 5 сот.,18 599 000 ₽,153 м²,5 сот.,"пгт. Большие ВязёмыМожайское шоссе, 27 км",22 июля 18:01
"Дача 92,5 м² на участке 8 сот.",3 500 000 ₽,"92,5 м²",8 сот.,"СНТ ПолянаНовокаширское шоссе, 49 км",8 августа 12:21
Дача 20 м² на участке 14 сот.,1 990 000 ₽,20 м²,14 сот.,"садовое товарищество НиваДмитровское шоссе, 84 км",1 час назад
Дача 42 м² на участке 7 сот.,1 300 000 ₽,42 м²,7 сот.,"д. АлфёровоНоворязанское шоссе, 117 км",2 часа назад
"Дом 90 м² на участке 6,5 сот.",5 850 000 ₽,90 м²,"6,5 сот.","КП Шелестово-2Волоколамское шоссе, 42 км",1 неделю назад
Дом 60 м² на участке 6 сот.,3 200 000 ₽,60 м²,6 сот.,"СНТ ЗаряНосовихинское шоссе, 28 км",1 час назад
"Дом 272 м² на участке 9,5 сот.",38 700 000 ₽,272 м²,"9,5 сот.","квартал дачной застройки БризеПятницкое шоссе, 10 км",24 декабря 2024
Дом 125 м² на участке 6 сот.,10 750 000 ₽,125 м²,6 сот.,"ТроицкКалужское шоссе, 23 км",15 июля 08:15
"Дом 96 м² на участке 8,6 сот.",8 000 000 ₽,96 м²,"8,6 сот.","ЧеховСимферопольское шоссе, 49 км",28 января 12:52
Дом 34 м² на участке 20 сот.,1 400 000 ₽,34 м²,20 сот.,"СНТ Руть восточнее д. БлаговещеньеКиевское шоссе, 97 км",2 недели назад
Дача 20 м² на участке 6 сот.,1 500 000 ₽,20 м²,6 сот.,"СНТ ФрегатНовокаширское шоссе, 51 км",2 часа назад
Коттедж 146 м² на участке 4 сот.,21 560 000 ₽,146 м²,4 сот.,"коттеджный пос. Английский квартал в АносиноВолоколамское шоссе, 25 км",30 апреля 2021
"Дом 87 м² на участке 5,2 сот.",3 400 000 ₽,87 м²,"5,2 сот.","СНТ ЛеснойВаршавское шоссе, 54 км",7 августа 16:13
Дом 105 м² на участке 7 сот.,24 732 584 ₽,105 м²,7 сот.,"КоролёвЯрославское шоссе, 10 км",5 августа 17:39
"Дом 115,2 м² на участке 12,3 сот.",5 000 000 ₽,"115,2 м²","12,3 сот.","Павловский ПосадГорьковское шоссе, 54 км",18 июля 20:21
"Дом 77,7 м² на участке 8,8 сот.",11 500 000 ₽,"77,7 м²","8,8 сот.","Долгопрудный,садовое товарищество КлязьмаДмитровское шоссе, 8 км",7 августа 22:03
Дача 22 м² на участке 6 сот.,750 000 ₽,22 м²,6 сот.,"садовое товарищество АтмосфераДмитровское шоссе, 80 км",27 июля 11:52
Дача 20 м² на участке 6 сот.,700 000 ₽,20 м²,6 сот.,"садоводческое некоммерческое товарищество ЭлектронЯрославское шоссе, 58 км",2 недели назад
Дача 50 м² на участке 10 сот.,1 500 000 ₽,50 м²,10 сот.,"СНТ ИзмайловоРогачёвское шоссе, 79 км",Вчера
"Дом 272 м² на участке 9,5 сот.",38 700 000 ₽,272 м²,"9,5 сот.","квартал дачной застройки БризеПятницкое шоссе, 10 км",24 декабря 2024
Дом 105 м² на участке 7 сот.,24 732 584 ₽,105 м²,7 сот.,"КоролёвЯрославское шоссе, 10 км",5 августа 17:39
Дом 154 м² на участке 7 сот.,11 500 000 ₽,154 м²,7 сот.,"д. ЕремеевоПятницкое шоссе, 25 км",4 марта 12:18
Дом 153 м² на участке 5 сот.,18 599 000 ₽,153 м²,5 сот.,"пгт. Большие ВязёмыМожайское шоссе, 27 км",22 июля 18:01
Дом 70 м² на участке 15 сот.,7 000 000 ₽,70 м²,15 сот.,"с. РахмановоЯрославское шоссе, 34 км",4 апреля 13:12
Дом 55 м² на участке 6 сот.,1 300 000 ₽,55 м²,6 сот.,"СНТ Просека-ПоздновоНовокаширское шоссе, 47 км",19 июля 15:59
Дача 56 м² на участке 6 сот.,5 200 000 ₽,56 м²,6 сот.,"СНТ ЗаряСимферопольское шоссе, 60 км",1 час назад
Дом 34 м² на участке 20 сот.,1 400 000 ₽,34 м²,20 сот.,"СНТ Руть восточнее д. БлаговещеньеКиевское шоссе, 97 км",2 недели назад
Дом 95 м² на участке 20 сот.,4 500 000 ₽,95 м²,20 сот.,"д. ГридиноЕгорьевское шоссе, 78 км",1 час назад
Дача 90 м² на участке 4 сот.,3 500 000 ₽,90 м²,4 сот.,"Электросталь,СНТ ЮбилейныйНосовихинское шоссе, 40 км",Вчера
"Дом 201,2 м² на участке 21,3 сот.",14 700 000 ₽,"201,2 м²","21,3 сот.","д. СкриплевоДмитровское шоссе, 55 км",3 августа 16:04
Дом 79 м² на участке 8 сот.,2 750 000 ₽,79 м²,8 сот.,"СНТ РучеёкЯрославское шоссе, 53 км",27 января 00:44
"Дом 78,3 м² на участке 6 сот.",7 700 000 ₽,"78,3 м²",6 сот.,"КлинЛенинградское шоссе, 61 км",3 недели назад
"Дом 105 м² на участке 6,3 сот.",9 980 000 ₽,105 м²,"6,3 сот.","КП Тюльпаново-2Новорижское шоссе, 69 км",23 июля 17:49
Дом 248 м² на участке 9 сот.,61 000 000 ₽,248 м²,9 сот.,"д. Исаково,КП Павловы озёраВолоколамское шоссе, 16 км",7 дней назад
Дом 119 м² на участке 18 сот.,17 000 000 ₽,119 м²,18 сот.,"ДедовскВолоколамское шоссе, 16 км",1 час назад
Коттедж 182 м² на участке 14 сот.,26 500 000 ₽,182 м²,14 сот.,"КП Рузские дачиНоворижское шоссе, 93 км",1 час назад
Дача 89 м² на участке 6 сот.,3 700 000 ₽,89 м²,6 сот.,"СНТ СергеевоСимферопольское шоссе, 48 км",Вчера
Дом 50 м² на участке 6 сот.,3 250 000 ₽,50 м²,6 сот.,"СНТ ОрионФряновское шоссе, 30 км",2 июля 09:57
Дом 153 м² на участке 7 сот.,3 500 000 ₽,153 м²,7 сот.,"коттеджный пос. Золотые ПескиМинское шоссе, 101 км",2 октября 2024
Дом 64 м² на участке 12 сот.,3 150 000 ₽,64 м²,12 сот.,"д. ПолупироговоКаширское шоссе, 53 км",1 час назад
Дом 40 м² на участке 5 сот.,3 000 000 ₽,40 м²,5 сот.,"д. ШишкиноНовокаширское шоссе, 35 км",8 мая 21:25
"Дом 128 м² на участке 8,7 сот.",10 900 000 ₽,128 м²,"8,7 сот.","Домодедово, коттеджный пос. Сиеста ЮжнаяНовокаширское шоссе, 27 км",4 февраля 15:40
Дом 130 м² на участке 8 сот.,5 200 000 ₽,130 м²,8 сот.,"коттеджный пос. Заповедный БерегСимферопольское шоссе, 65 км",2 часа назад
"Таунхаус 165 м² на участке 1,9 сот.",27 000 000 ₽,165 м²,"1,9 сот.","д. МартемьяновоКиевское шоссе, 27 км",22 мая 2024
"Дом 82,9 м² на участке 9,5 сот.",11 500 000 ₽,"82,9 м²","9,5 сот.","коттеджный пос. Львовские Озёра-2Новорижское шоссе, 109 км",9 августа 19:26
Дом 180 м² на участке 15 сот.,17 990 000 ₽,180 м²,15 сот.,"территория ДНП ЗащитникВолоколамское шоссе, 53 км",21 мая 12:41
Дом 416 м² на участке 16 сот.,16 200 000 ₽,416 м²,16 сот.,"д. РубцовоВолоколамское шоссе, 53 км",1 час назад
Дом 108 м² на участке 12 сот.,2 500 000 ₽,108 м²,12 сот.,"садоводческое некоммерческое товарищество ДорожникНоворижское шоссе, 104 км",Вчера
Дача 24 м² на участке 6 сот.,1 500 000 ₽,24 м²,6 сот.,"СНТ Буреломка-2Щёлковское шоссе, 37 км",10 мая 15:17
Дом 123 м² на участке 8 сот.,2 800 000 ₽,123 м²,8 сот.,"КП РаздольеМинское шоссе, 81 км",9 августа 23:53
"Дом 100,3 м² на участке 6,3 сот.",10 500 000 ₽,"100,3 м²","6,3 сот.","д. ПетрушиноНовокаширское шоссе, 5 км",23 февраля 15:31
"Дом 118 м² на участке 7,5 сот.",10 900 000 ₽,118 м²,"7,5 сот.","с. РечицыЕгорьевское шоссе, 39 км",1 неделю назад
Дом 120 м² на участке 6 сот.,13 000 000 ₽,120 м²,6 сот.,"КП Бисерово-ОзёрноеГорьковское шоссе, 19 км",1 час назад
Дом 91 м² на участке 10 сот.,14 500 000 ₽,91 м²,10 сот.,"д. Соколова ПустыньКаширское шоссе, 85 км",1 час назад
Дом 248 м² на участке 6 сот.,19 900 000 ₽,248 м²,6 сот.,"Старая КупавнаГорьковское шоссе, 22 км",7 дней назад
"Дом 99,6 м² на участке 10 сот.",5 970 000 ₽,"99,6 м²",10 сот.,"с. БужаниновоЯрославское шоссе, 67 км",11 декабря 2024
"Дом 213 м² на участке 9,5 сот.",11 199 900 ₽,213 м²,"9,5 сот.","КП Новая ЕвропаРязанское шоссе, 26 км",1 час назад
Дом 85 м² на участке 10 сот.,1 650 000 ₽,85 м²,10 сот.,"СНТ Фрязево южнее пос. ФрязевоНосовихинское шоссе, 41 км",3 часа назад
"Дом 71,5 м² на участке 5,5 сот.",3 700 000 ₽,"71,5 м²","5,5 сот.","ДНП Солнечный Берег-2Рогачёвское шоссе, 67 км",3 часа назад
"Дача 70 м² на участке 6,4 сот.",3 799 000 ₽,70 м²,"6,4 сот.","садовое товарищество ДоброеЯрославское шоссе, 27 км",14 марта 17:46
"Дом 195 м² на участке 5,9 сот.",15 500 000 ₽,195 м²,"5,9 сот.","д. Мостовское, КП Славянские берегаВаршавское шоссе, 13 км",13 июня 12:06
Дом 120 м² на участке 8 сот.,6 900 000 ₽,120 м²,8 сот.,"д. КосякиноНоворязанское шоссе, 40 км",2 июля 16:36
"Дом 50 м² на участке 12,4 сот.",2 000 000 ₽,50 м²,"12,4 сот.","ШаховскаяНоворижское шоссе, 120 км",Вчера
"Дом 140 м² на участке 8,5 сот.",7 500 000 ₽,140 м²,"8,5 сот.","ОзёрыКаширское шоссе, 98 км",1 час назад
"Дом 350 м² на участке 8,1 сот.",10 500 000 ₽,350 м²,"8,1 сот.","СНТ ТрансПятницкое шоссе, 45 км",7 мая 22:56
"Дом 104,2 м² на участке 15 сот.",12 250 000 ₽,"104,2 м²",15 сот.,"с. СелинскоеЛенинградское шоссе, 69 км",1 час назад
Дача 40 м² на участке 23 сот.,2 300 000 ₽,40 м²,23 сот.,"дп. ПленициноНоворижское шоссе, 115 км",9 мая 15:39
"Дом 120 м² на участке 11,5 сот.",5 495 000 ₽,120 м²,"11,5 сот.","д. ШишиморовоМинское шоссе, 83 км",19 июня 09:58
Дом 120 м² на участке 8 сот.,6 900 000 ₽,120 м²,8 сот.,"д. КосякиноНоворязанское шоссе, 40 км",2 июля 16:36
Дом 102 м² на участке 8 сот.,14 800 000 ₽,102 м²,8 сот.,"КП Подмосковная ривьераФряновское шоссе, 29 км",1 час назад
"Дом 520 м² на участке 16,1 сот.",35 000 000 ₽,520 м²,"16,1 сот.","ПодольскВаршавское шоссе, 17 км",2 августа 14:52
Дом 500 м² на участке 10 сот.,42 000 000 ₽,500 м²,10 сот.,"д. Николо-Черкизово, коттеджный пос. Николо-ПятницкоеПятницкое шоссе, 14 км",16 марта 2024
"Дом 78,3 м² на участке 6 сот.",7 700 000 ₽,"78,3 м²",6 сот.,"КлинЛенинградское шоссе, 61 км",3 недели назад
Дача 65 м² на участке 7 сот.,3 000 000 ₽,65 м²,7 сот.,"садовое товарищество ЛучНоворижское шоссе, 75 км",8 мая 16:31
Коттедж 200 м² на участке 12 сот.,16 000 000 ₽,200 м²,12 сот.,"коттеджный пос. ЛесницыноВолоколамское шоссе, 53 км",22 мая 2021
"Дача 34 м² на участке 5,8 сот.",900 000 ₽,34 м²,"5,8 сот.","садовое товарищество Чайка-3Горьковское шоссе, 57 км",3 дня назад
Дом 85 м² на участке 10 сот.,1 650 000 ₽,85 м²,10 сот.,"СНТ Фрязево южнее пос. ФрязевоНосовихинское шоссе, 41 км",3 часа назад
Дом 77 м² на участке 7 сот.,11 500 000 ₽,77 м²,7 сот.,"д. СкурыгиноСимферопольское шоссе, 44 км",7 августа 18:24
Дом 56 м² на участке 6 сот.,4 600 000 ₽,56 м²,6 сот.,"рп. Обухово, СНТ ОрбитаГорьковское шоссе, 26 км",6 декабря 2016
"Дом 69,7 м² на участке 9 сот.",6 800 000 ₽,"69,7 м²",9 сот.,"д. Малое Саврасово, КИЗ ТрубопроводчикНовокаширское шоссе, 17 км",9 июня 05:45
Дом 180 м² на участке 6 сот.,21 300 000 ₽,180 м²,6 сот.,"СНТ НазарьевоРублёво-Успенское шоссе, 23 км",4 июля 20:52
Дом 150 м² на участке 10 сот.,25 000 000 ₽,150 м²,10 сот.,"пгт. Малаховка, ДНТ Красная ЗвездаБыковское шоссе, 9 км",1 час назад
Дача 45 м² на участке 10 сот.,2 350 000 ₽,45 м²,10 сот.,"СНТ Лесная Поляна-1Минское шоссе, 71 км",19 марта 22:27
"Дом 134,6 м² на участке 10 сот.",6 000 000 ₽,"134,6 м²",10 сот.,"ВоскресенскНоворязанское шоссе, 69 км",Вчера
Дом 108 м² на участке 10 сот.,9 800 000 ₽,108 м²,10 сот.,"с. СелинскоеЛенинградское шоссе, 69 км",2 часа назад
"Дом 170 м² на участке 7,4 сот.",12 999 999 ₽,170 м²,"7,4 сот.","НСТ ЗаботаЩёлковское шоссе, 9 км",1 час назад
"Дом 350 м² на участке 8,1 сот.",10 500 000 ₽,350 м²,"8,1 сот.","СНТ ТрансПятницкое шоссе, 45 км",7 мая 22:56
Дом 115 м² на участке 10 сот.,6 440 000 ₽,115 м²,10 сот.,"с. МышенскоеНовокаширское шоссе, 61 км",8 августа 13:47
"Дом 92,9 м² на участке 5 сот.",3 500 000 ₽,"92,9 м²",5 сот.,"КоломнаНоворязанское шоссе, 92 км",Вчера
"Дом 101,4 м² на участке 8,8 сот.",16 000 000 ₽,"101,4 м²","8,8 сот.","д. Русавкино-РомановоНосовихинское шоссе, 13 км",1 неделю назад
Дом 150 м² на участке 7 сот.,10 500 000 ₽,150 м²,7 сот.,"садовое товарищество Кредо-МПятницкое шоссе, 18 км",1 час назад
Дача 30 м² на участке 6 сот.,1 990 000 ₽,30 м²,6 сот.,"СНТ МалиновкаНосовихинское шоссе, 61 км",Вчера
"Дом 100,7 м² на участке 6,5 сот.",7 590 000 ₽,"100,7 м²","6,5 сот.","д. СерговоМинское шоссе, 84 км",25 апреля 16:26
Дом 24 м² на участке 6 сот.,2 200 000 ₽,24 м²,6 сот.,"с. ИвановскоеНовокаширское шоссе, 57 км",Вчера
Дом 231 м² на участке 7 сот.,17 900 000 ₽,231 м²,7 сот.,"ЩёлковоЩёлковское шоссе, 18 км",8 мая 14:22
Дом 248 м² на участке 6 сот.,19 900 000 ₽,248 м²,6 сот.,"Старая КупавнаГорьковское шоссе, 22 км",7 дней назад
"Дом 195 м² на участке 5,9 сот.",15 500 000 ₽,195 м²,"5,9 сот.","д. Мостовское, КП Славянские берегаВаршавское шоссе, 13 км",13 июня 12:06
Дом 163 м² на участке 6 сот.,17 000 000 ₽,163 м²,6 сот.,"ДНП Жилино КлабПятницкое шоссе, 24 км",9 июня 12:04
"Дом 110 м² на участке 4,5 сот.",13 700 000 ₽,110 м²,"4,5 сот.","Орехово-ЗуевоГорьковское шоссе, 73 км",8 декабря 2024
"Дом 92 м² на участке 9,4 сот.",12 500 000 ₽,92 м²,"9,4 сот.","с. ДубкиМожайское шоссе, 13 км",3 часа назад
"Дом 144,4 м² на участке 12 сот.",10 000 000 ₽,"144,4 м²",12 сот.,"пос. ТархановкаЕгорьевское шоссе, 104 км",30 июня 20:08
Коттедж 192 м² на участке 6 сот.,10 990 000 ₽,192 м²,6 сот.,"д. Сатино-РусскоеКалужское шоссе, 27 км",4 июля 2023
Дом 85 м² на участке 10 сот.,3 950 000 ₽,85 м²,10 сот.,"коттеджный пос. ЗатесовоНоворижское шоссе, 112 км",29 сентября 2023
Дом 80 м² на участке 6 сот.,2 200 000 ₽,80 м²,6 сот.,"СНТ КругозорЯрославское шоссе, 64 км",3 дня назад
Дом 72 м² на участке 8 сот.,2 500 000 ₽,72 м²,8 сот.,"СНТ ЭнтузиастНосовихинское шоссе, 32 км",Вчера
Коттедж 235 м² на участке 7 сот.,54 900 000 ₽,235 м²,7 сот.,"д. ЧесноковоМинское шоссе, 21 км",5 ноября 2020
"Дом 48,7 м² на участке 7,8 сот.",4 849 000 ₽,"48,7 м²","7,8 сот.","СНТ Лесная Поляна-66Можайское шоссе, 49 км",31 июля 22:21
Дача 19 м² на участке 6 сот.,2 450 000 ₽,19 м²,6 сот.,"Наро-ФоминскКиевское шоссе, 58 км",3 дня назад
Дом 65 м² на участке 15 сот.,2 900 000 ₽,65 м²,15 сот.,"садоводческое некоммерческое товарищество МечтаМинское шоссе, 101 км",11 марта 13:44
"Дом 171,6 м² на участке 5,1 сот.",33 500 000 ₽,"171,6 м²","5,1 сот.","пос. Газопровод, КП РадужныйКалужское шоссе, 3 км",17 июня 20:25
Коттедж 508 м² на участке 15 сот.,47 000 000 ₽,508 м²,15 сот.,"пгт. МалаховкаБыковское шоссе, 10 км",29 января 10:07
Дом 57 м² на участке 12 сот.,3 500 000 ₽,57 м²,12 сот.,"садовое товарищество АгатДмитровское шоссе, 77 км",29 июля 20:37
"Дом 96 м² на участке 6,2 сот.",12 500 000 ₽,96 м²,"6,2 сот.","ВолоколамскНоворижское шоссе, 94 км",1 ноября 2024
"Коттедж 121,3 м² на участке 2,2 сот.",11 500 000 ₽,"121,3 м²","2,2 сот.","коттеджный пос. Лесной ВипЩёлковское шоссе, 8 км",20 ноября 2024
"Дом 150 м² на участке 7,3 сот.",8 200 000 ₽,150 м²,"7,3 сот.","д. ХолмыПятницкое шоссе, 29 км",4 апреля 19:12
Дом 90 м² на участке 6 сот.,10 950 000 ₽,90 м²,6 сот.,"д. Малая ДубнаГорьковское шоссе, 70 км",16 июня 22:52
Дом 250 м² на участке 7 сот.,9 500 000 ₽,250 м²,7 сот.,"садовое товарищество Родник-2Рогачёвское шоссе, 25 км",31 марта 2024
Дом 174 м² на участке 12 сот.,5 500 000 ₽,174 м²,12 сот.,"д. ГлазовоМинское шоссе, 101 км",7 дней назад
Дом 90 м² на участке 9 сот.,2 190 000 ₽,90 м²,9 сот.,"д. ФедцовоНоворижское шоссе, 103 км",11 июля 2022
"Дом 88 м² на участке 5,1 сот.",3 545 000 ₽,88 м²,"5,1 сот.","с. НикитскоеНоворязанское шоссе, 56 км",7 дней назад
"Дом 64 м² на участке 10,4 сот.",5 200 000 ₽,64 м²,"10,4 сот.",д. АфанасовкаКиевское шоссе,7 дней назад
"Дом 151 м² на участке 6,3 сот.",7 850 000 ₽,151 м²,"6,3 сот.","Подольск, СНТ ЦементникВаршавское шоссе, 15 км",7 дней назад
Дом 59 м² на участке 11 сот.,3 200 000 ₽,59 м²,11 сот.,"д. ТеряевоДмитровское шоссе, 54 км",3 дня назад
Дача 60 м² на участке 6 сот.,2 500 000 ₽,60 м²,6 сот.,"СНТ РадугаСимферопольское шоссе, 41 км",7 дней назад
Дом 117 м² на участке 12 сот.,3 200 000 ₽,117 м²,12 сот.,"д. ГусеневоНоворижское шоссе, 77 км",1 неделю назад
"Дача 60,1 м² на участке 6 сот.",1 480 000 ₽,"60,1 м²",6 сот.,"Электрогорск,садовое товарищество Рассвет Подольский ЗаводГорьковское шоссе, 59 км",1 неделю назад
Дача 60 м² на участке 15 сот.,4 500 000 ₽,60 м²,15 сот.,"ЯхромаДмитровское шоссе, 45 км",3 дня назад
"Дом 200 м² на участке 9,5 сот.",18 000 000 ₽,200 м²,"9,5 сот.","коттеджный пос. Анютины ГлазкиЛенинградское шоссе, 56 км",27 января 2021
Дача 75 м² на участке 12 сот.,2 300 000 ₽,75 м²,12 сот.,"д. КолычевоНовокаширское шоссе, 61 км",3 дня назад
Дача 142 м² на участке 6 сот.,4 300 000 ₽,142 м²,6 сот.,"СНТ ЯрцевоКалужское шоссе, 34 км",3 дня назад
"Дом 42 м² на участке 10,6 сот.",2 200 000 ₽,42 м²,"10,6 сот.","пос. ДороховоМинское шоссе, 67 км",2 недели назад
Дача 100 м² на участке 6 сот.,3 000 000 ₽,100 м²,6 сот.,"КП Ромашково-37Новорязанское шоссе, 45 км",7 дней назад
Дом 84 м² на участке 9 сот.,1 600 000 ₽,84 м²,9 сот.,"садовое товарищество НептунНоворижское шоссе, 88 км",3 дня назад
Дача 20 м² на участке 61 сот.,1 600 000 ₽,20 м²,61 сот.,"СНТ СинтезНосовихинское шоссе, 30 км",7 августа 08:01
Дом 90 м² на участке 8 сот.,4 500 000 ₽,90 м²,8 сот.,"ЗарайскКаширское шоссе, 119 км",3 дня назад
Дом 96 м² на участке 10 сот.,5 550 000 ₽,96 м²,10 сот.,"д. ПодмошьеДмитровское шоссе, 54 км",19 мая 09:07
"Дом 140 м² на участке 11,5 сот.",5 800 000 ₽,140 м²,"11,5 сот.","территория ДНП Маринские дачиПятницкое шоссе, 49 км",3 дня назад
"Дом 120 м² на участке 9,5 сот.",8 100 000 ₽,120 м²,"9,5 сот.","д. БахтеевоЕгорьевское шоссе, 44 км",3 дня назад
"Дача 40 м² на участке 7,1 сот.",2 000 000 ₽,40 м²,"7,1 сот.","Электросталь, садовое товарищество ЮжноеНосовихинское шоссе, 38 км",5 апреля 09:42
"Дача 60 м² на участке 5,5 сот.",3 500 000 ₽,60 м²,"5,5 сот.","СНТ СтартЩёлковское шоссе, 34 км",3 дня назад
Дом 100 м² на участке 6 сот.,3 500 000 ₽,100 м²,6 сот.,"садоводческое некоммерческое товарищество Яблоко-2Киевское шоссе, 44 км",27 февраля 00:54
Дом 75 м² на участке 6 сот.,3 900 000 ₽,75 м²,6 сот.,"ДНП Лесная опушкаЯрославское шоссе, 67 км",22 мая 09:20
"Дом 96,7 м² на участке 6 сот.",8 500 000 ₽,"96,7 м²",6 сот.,"д. ИсаковоКалужское шоссе, 31 км",3 дня назад
"Дом 150,4 м² на участке 8 сот.",6 450 000 ₽,"150,4 м²",8 сот.,"д. АндреевскоеНоворязанское шоссе, 11 км",24 ноября 2024
"Дом 123 м² на участке 7,2 сот.",2 385 000 ₽,123 м²,"7,2 сот.","садоводческое некоммерческое товарищество СушкинскаяМожайское шоссе, 35 км",7 дней назад
"Дом 74,5 м² на участке 8,5 сот.",3 500 000 ₽,"74,5 м²","8,5 сот.","садоводческое некоммерческое товарищество ЗагорьеЯрославское шоссе, 72 км",3 дня назад
"Дача 64,5 м² на участке 5 сот.",2 700 000 ₽,"64,5 м²",5 сот.,"Подольск, СНТ КолосСимферопольское шоссе, 31 км",3 дня назад
Дом 100 м² на участке 10 сот.,3 690 000 ₽,100 м²,10 сот.,"д. ЧетряковоНовокаширское шоссе, 49 км",5 августа 11:47
"Дом 69,4 м² на участке 6 сот.",4 500 000 ₽,"69,4 м²",6 сот.,"д. КузнецовоЕгорьевское шоссе, 33 км",3 дня назад
